policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,5,70,6.86,0.0,optimal,7.108861822984181,7.069615907999998
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,39,138,4.75,0.0,optimal,4.89708307798719,4.879400178000001
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,165,434,15.85,0.0,optimal,16.430300256004557,16.381258849
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,567,986,12.63,0.0,optimal,13.39706412301166,13.421991020999997
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,115,261,7.0,0.0,optimal,7.2763466609758325,7.247392898000001
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,101,233,4.49,0.030971258671952405,userinterrupt,4.706355180009268,4.712637573999999
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1,3,0.59,0.13579812118406676,userinterrupt,0.6960470199701376,0.6474094929999978
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1,4,0.74,0.13384485229150855,userinterrupt,0.7693616600008681,0.7701805039999954
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,1,2,0.42,0.23175343644584054,userinterrupt,0.4678817790118046,0.4462594910000064
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,1,2,0.13,0.23388230363474316,userinterrupt,0.14744414202868938,0.14785197900000924
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_6.lp,1,1,0.12,2.2560635770739603,userinterrupt,0.15108128602150828,0.1461022949999915
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_6.lp,1,2,0.14,0.10373098709276991,userinterrupt,0.1662512759794481,0.16675651099998845
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,1,2,0.48,0.12242583896976046,userinterrupt,0.4955204040161334,0.4954489420000101
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,0,0,0.04,1e+20,userinterrupt,0.06281720200786367,0.06324517099999127
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,0,0,0.04,1e+20,userinterrupt,0.06560957396868616,0.05979025400000637
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,0,0,0.06,1e+20,userinterrupt,0.08009362203301862,0.08044465100000764
internal:relpscost,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_9.lp,29,161,8.69,0.0,optimal,8.944006052042823,8.94856074900001
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_9.lp,97,259,4.95,0.0,optimal,5.198255175957456,5.204651562999999
